Algorithm,Array Type,Size,Time
bubble_sort,random,100,0.0003662109375
bubble_sort,sorted,100,4.76837158203125e-06
bubble_sort,reverse,100,0.0004956722259521484
bubble_sort,nearly sorted,100,0.0002884864807128906
bubble_sort,few unique,100,0.0003170967102050781
insertion_sort,random,100,0.00017261505126953125
insertion_sort,sorted,100,8.344650268554688e-06
insertion_sort,reverse,100,0.00033402442932128906
insertion_sort,nearly sorted,100,5.888938903808594e-05
insertion_sort,few unique,100,0.00012969970703125
merge_sort,random,100,0.00020360946655273438
merge_sort,sorted,100,0.000133514404296875
merge_sort,reverse,100,0.00013017654418945312
merge_sort,nearly sorted,100,0.000141143798828125
merge_sort,few unique,100,0.0001461505889892578
quick_sort,random,100,6.842613220214844e-05
quick_sort,sorted,100,0.0003139972686767578
quick_sort,reverse,100,0.0002605915069580078
quick_sort,nearly sorted,100,7.677078247070312e-05
quick_sort,few unique,100,8.320808410644531e-05
heap_sort,random,100,0.00015544891357421875
heap_sort,sorted,100,0.0001652240753173828
heap_sort,reverse,100,0.00013756752014160156
heap_sort,nearly sorted,100,0.00016045570373535156
heap_sort,few unique,100,0.00012874603271484375
bubble_sort,random,200,0.0014390945434570312
bubble_sort,sorted,200,9.5367431640625e-06
bubble_sort,reverse,200,0.0019521713256835938
bubble_sort,nearly sorted,200,0.0010173320770263672
bubble_sort,few unique,200,0.0014522075653076172
insertion_sort,random,200,0.0006837844848632812
insertion_sort,sorted,200,1.5974044799804688e-05
insertion_sort,reverse,200,0.0016407966613769531
insertion_sort,nearly sorted,200,0.00017404556274414062
insertion_sort,few unique,200,0.0004887580871582031
merge_sort,random,200,0.0002734661102294922
merge_sort,sorted,200,0.00022602081298828125
merge_sort,reverse,200,0.0002269744873046875
merge_sort,nearly sorted,200,0.000240325927734375
merge_sort,few unique,200,0.00025177001953125
quick_sort,random,200,0.00014400482177734375
quick_sort,sorted,200,0.0010769367218017578
quick_sort,reverse,200,0.0008566379547119141
quick_sort,nearly sorted,200,0.0002396106719970703
quick_sort,few unique,200,0.00021076202392578125
heap_sort,random,200,0.0003681182861328125
heap_sort,sorted,200,0.00038170814514160156
heap_sort,reverse,200,0.0003120899200439453
heap_sort,nearly sorted,200,0.0003743171691894531
heap_sort,few unique,200,0.00030422210693359375
bubble_sort,random,400,0.006356716156005859
bubble_sort,sorted,400,2.0503997802734375e-05
bubble_sort,reverse,400,0.008948326110839844
bubble_sort,nearly sorted,400,0.004382133483886719
bubble_sort,few unique,400,0.006475687026977539
insertion_sort,random,400,0.0031549930572509766
insertion_sort,sorted,400,3.743171691894531e-05
insertion_sort,reverse,400,0.00590062141418457
insertion_sort,nearly sorted,400,0.00070953369140625
insertion_sort,few unique,400,0.00225067138671875
merge_sort,random,400,0.0007166862487792969
merge_sort,sorted,400,0.0005769729614257812
merge_sort,reverse,400,0.0004932880401611328
merge_sort,nearly sorted,400,0.0005450248718261719
merge_sort,few unique,400,0.0005578994750976562
quick_sort,random,400,0.00036716461181640625
quick_sort,sorted,400,0.00439000129699707
quick_sort,reverse,400,0.003472566604614258
quick_sort,nearly sorted,400,0.0004696846008300781
quick_sort,few unique,400,0.0006563663482666016
heap_sort,random,400,0.0009334087371826172
heap_sort,sorted,400,0.0008790493011474609
heap_sort,reverse,400,0.0007429122924804688
heap_sort,nearly sorted,400,0.0008976459503173828
heap_sort,few unique,400,0.0006968975067138672
bubble_sort,random,800,0.028900861740112305
bubble_sort,sorted,800,4.5299530029296875e-05
bubble_sort,reverse,800,0.04920053482055664
bubble_sort,nearly sorted,800,0.018983125686645508
bubble_sort,few unique,800,0.02516961097717285
insertion_sort,random,800,0.01367330551147461
insertion_sort,sorted,800,8.320808410644531e-05
insertion_sort,reverse,800,0.024544954299926758
insertion_sort,nearly sorted,800,0.0031325817108154297
insertion_sort,few unique,800,0.010790348052978516
merge_sort,random,800,0.0012664794921875
merge_sort,sorted,800,0.0010902881622314453
merge_sort,reverse,800,0.0010905265808105469
merge_sort,nearly sorted,800,0.0012392997741699219
merge_sort,few unique,800,0.0012285709381103516
quick_sort,random,800,0.0010058879852294922
quick_sort,sorted,800,0.0189816951751709
quick_sort,reverse,800,0.015802860260009766
quick_sort,nearly sorted,800,0.0012445449829101562
quick_sort,few unique,800,0.00237274169921875
heap_sort,random,800,0.0019116401672363281
heap_sort,sorted,800,0.0019686222076416016
heap_sort,reverse,800,0.001978158950805664
heap_sort,nearly sorted,800,0.002062559127807617
heap_sort,few unique,800,0.0015399456024169922
